position,id,title,description,publishedAt,defaultLanguage,country,viewCount,subscriberCount,videoCount,thumbnail,keywords,topicDetails
11,UCcdceOajR9QZFAnMiQTAraA,"Direto ao Python","Bem-vindo ao canal Direto ao Python! Aqui você encontrará tutoriais sobre programação em Python, focados em aplicações reais e projetos do dia a dia. Se você é iniciante ou já tem alguma experiência em programação, este é o lugar ideal para aprender a criar soluções úteis com Python. Vamos explorar bibliotecas, frameworks e técnicas que tornam a programação divertida e eficiente. Inscreva-se e comece a desenvolver suas habilidades em Python!",2024-07-04T00:23:57.167982Z,,BR,6975,279,24,https://yt3.ggpht.com/wcFrl154YNr83KbRxMghKYFCGKKhvLTu2J4eSufRowtYzEjC4sG5kHGLEyuww3dIws-HvvpHYw=s800-c-k-c0x00ffffff-no-rj,python|piton|paiton|paithon|flet|flat|pycharm|desenvolvimento|qgis|mobile|flutter,"Lifestyle (parent topic)|Knowledge|Technology"
12,UCafFexaRoRylOKdzGBU6Pgg,"Hashtag Programação","Bem-vindo ao canal Hashtag Programação! Se você quer dominar as linguagens de programação mais requisitadas no mercado, está no lugar certo. Aqui, ensinamos Python, JavaScript, HTML, CSS, SQL e Ciência de Dados, desde o básico até o avançado, com uma abordagem prática e direta ao ponto. Nosso objetivo é capacitar você com as habilidades necessárias para enfrentar os desafios do mercado de tecnologia. Acreditamos que a melhor forma de aprender a programar é colocando a mão na massa, e é isso que nossos tutoriais e cursos oferecem: conhecimento aplicável que você pode usar imediatamente em seus projetos. Além dos conteúdos didáticos, nosso canal é uma comunidade vibrante onde programadores de todos os níveis compartilham suas experiências, tiram dúvidas e crescem juntos. Se você quer se destacar como desenvolvedor, inscreva-se no canal e ative as notificações para ficar por dentro de todas as novidades! ",2020-10-19T13:14:14.581427Z,,BR,42425971,701000,1543,https://yt3.ggpht.com/n5GUY-L5kuEeNCdK5g0FiVbhoAHQJxAI-3xxvPIm1Qb2zjfRHrqNp6dakUwKGZUfBiyBrWqJPW4=s800-c-k-c0x00ffffff-no-rj,"Python|Programação|Inteligência Artifical|Ciência de Dados","Lifestyle (parent topic)|Knowledge|Technology"
13,UCTVGjydBHM2g5_K18MZqE4Q,"Programming in Python","Official channel for the introductory course ""Programming in Python"" offered as a part of the BS degree at IIT Madras.",2022-09-11T07:34:04.314995Z,,,461524,18100,550,https://yt3.ggpht.com/2_drb8QvAf_P9AiYEXs_0fZUdKRpbYo2ed4B6w8iC3q4C8Z3L0mUwJClh1Npa41InSEJ_YUfegw=s800-c-k-c0x00ffffff-no-rj,,"Technology|Knowledge|Lifestyle (parent topic)"
14,UCapoJgKKWSmyDcGOHl5UlNQ,"CG Python","I help 3D artists learn Python on Skool https://www.skool.com/cgpython/about Python tutorials for CG artists. You can expect quick to the point tips, tricks, and tutorials about how to use the Python programming language for CG art. Alongside technical deep dives for artists who want to gain a better understanding of Python. All opinions are my own. ",2021-03-20T23:02:19.391187Z,,,897178,14500,127,https://yt3.ggpht.com/sY2SuUpdE9VqR4f0-6vmsGh9uCOduuy68iXMGkVkC6IFOJ3oWEV76JCHQNrIAvBCSob5vWuytA=s800-c-k-c0x00ffffff-no-rj,,"Lifestyle (parent topic)|Knowledge|Technology"
15,UCrWnnRBtwusyMMCMxj-ZQRA,"Step into python","🎯 Welcome to Step into Python! Your ultimate destination to learn Python programming step by step — from beginner to advanced. We make coding simple, practical, and fun with clear explanations, real-world examples, and hands-on projects. 💡 What you’ll learn: Python basics to advanced concepts Data structures, functions & modules Object-Oriented Programming (OOP) File handling, exceptions, and more Mini projects & coding exercises 🔥 Whether you're a student, beginner, or aspiring developer, this channel helps you build a strong foundation in Python and grow your coding confidence. 📘 Subscribe now and start your journey — 👉 Step into Python… and step up your skills! 🐍",2025-11-09T14:20:44.813056Z,,,5709,70,12,https://yt3.ggpht.com/mbcKr-Pu9KyfsE_OOTDqi_LHsRcy09ekMcPIohGUm3mUcjGiAJEG1sa6JVb-T46qrqGbWdnQRw=s800-c-k-c0x00ffffff-no-rj,,"Lifestyle (parent topic)|Knowledge|Technology"
16,UCKPSmMfDsXTKrCZApukcJ7A,"Talk Python","Talk Python to Me is a weekly podcast hosted by Michael Kennedy. The show covers a wide array of Python topics as well as many related topics (e.g. MongoDB, AngularJS, DevOps). The format is a casual 45 minute conversation with industry experts. Have feedback for the show? Send it to talkpythontome@michaelckennedy.net. We'd love to hear from you. The show is owned and operated by PDX Web Properties, LLC. (a small company run by Michael Kennedy).",2015-04-27T16:46:12Z,,US,1008326,28300,563,https://yt3.ggpht.com/ytc/AIdro_ljnxfbHaHHrtAm07LKKsr6qLfg7UDgd8lbO08ic8GRRd8=s800-c-k-c0x00ffffff-no-rj,"Python|Podcast|Course|Courses|Software Development|web development|data science","Technology|Knowledge|Lifestyle (parent topic)"
17,UCI0vQvr9aFn27yR6Ej6n5UA,"Real Python","Python tutorials and training videos for Pythonistas that go beyond the basics. 🎓🐍 Get free Python tips and programming tutorials at https://realpython.com Hey, I’m Dan Bader and I help Python developers take their coding skills and productivity to the next level. I’m an independent software engineer, author, and speaker. I’ve been developing software for 15 years—and I’d love to help you become a more proficient Python coder. On this channel you’ll get new Python videos and screencasts every week. They’re bite-sized and to the point so you can fit them in with your day and pick up new Python skills on the side: ► Free Python Articles & Tutorials: https://realpython.com ► Listen to the Real Python Podcast: https://realpython.com/podcast",2013-05-22T11:01:27Z,,US,10768141,205000,1068,https://yt3.ggpht.com/ytc/AIdro_nzF12uuoHg0gD_rl6GKh3imllb_MI7Npr2B6tJpZp939U=s800-c-k-c0x00ffffff-no-rj,"python|pythonista|dbader|dbader.org|realpython|python training|python tutorial|python class|python videos|python programming|python for beginners|dan bader|python coaching|pythob jobs|python classes|python tutorial for beginners|python training online|real python","Knowledge|Technology|Lifestyle (parent topic)"
18,UC68KSmHePPePCjW4v57VPQg,"Python Programmer","Hi I'm Giles, I make videos about learning 🧠 I have a degree in physics, a post graduate certificate in Data Science and am a former medical physics researcher and before all that I was a financial journalist. I share the best evidence based learning techniques to help you learn anything you want. ",2008-08-16T08:48:33Z,,GB,50271457,776000,226,https://yt3.ggpht.com/ytc/AIdro_nIRNdG4jBmhOnEvlrRrEsVe0uoIoSfLBOSGu70FzBUFyg=s800-c-k-c0x00ffffff-no-rj,"maths|math|pandas|numpy|physics|science|learning|science|data science|data analysis|Python for beginners|book reviews|machine learning|learning hacks","Technology|Knowledge|Lifestyle (parent topic)"
19,UCZbgIFjQ55-kWyqC4v00GNw,"Venha Aprender Python do Básico ao Avançado","Bem-vindo ao meu canal do Youtube sobre Python! Aqui você encontrará aulas detalhadas sobre programação em Python, desde os conceitos básicos até os avançados. Se você está procurando aprender Python desde o início ou se deseja aperfeiçoar suas habilidades de codificação, este é o canal perfeito para você. Com uma abordagem passo a passo e exemplos práticos, incluindo sintaxe básica, estruturas de controle de fluxo, funções, módulos, manipulação de arquivos, programação orientada a objetos, entre outros. Além disso, também discutiremos aplicações reais de Python, como análise de dados, processamento de texto, inteligência artificial e muito mais. Inscreva-se agora e junte-se a milhares de outros programadores apaixonados por Python em sua jornada de aprendizado! Python, programação, codificação, aprendizado, habilidades, iniciantes, avançado, sintaxe, controle de fluxo, funções, módulos, arquivos, OOP, análise de dados, processamento de texto, inteligência artificial. ",2014-11-25T21:03:24Z,,BR,4831,80,194,https://yt3.ggpht.com/aYu3ua8M-La9BJJOGj67hVYkqzfD0iuJowYEjxYxf6R_BFZiGip5SkuXhbVPsF8ialaWPU7t=s800-c-k-c0x00ffffff-no-rj,"Programação|Python|Algoritmos|Inteligência Artificial|Aprendizado de Máquina|Data Science|Visualização de Dados|Ciência de Dados|Desenvolvimento de Software","Lifestyle (parent topic)|Knowledge|Technology"
20,UCEoNL-znrywHalaunyQrUBw,"Python Nordeste","A Python Nordeste é o maior encontro da comunidade Python na região. É um evento itinerante que ocorre anualmente nas cidades do Nordeste. Para mais informações, consulte: https://pythonnordeste.org/ ",2016-04-19T13:37:35Z,,,20832,845,62,https://yt3.ggpht.com/ytc/AIdro_mmGR1RGWQx4Ad9UpzZdHokO9QLopnLBwiw5pruuKZ5JN0=s800-c-k-c0x00ffffff-no-rj,,"Lifestyle (parent topic)|Knowledge|Technology"
21,UCriSeSrJ8vC54Vg8IWIJ7IQ,pythonman,"Welcome to Python Man! This channel is dedicated to helping you master Data Structures and Algorithms (DSA) using Python, all in Telugu! Whether you're just starting or looking to level up your coding skills, I’m here to make DSA concepts easy and fun to learn. You’ll find detailed explanations, problem-solving tutorials, and tips to boost your coding abilities, all in our native language, Telugu. Join me on this journey to enhance your problem-solving skills and coding knowledge. Don't forget to subscribe and hit the bell icon to stay updated with new videos! ",2025-06-03T23:43:11.918635Z,,,18579,1410,17,https://yt3.ggpht.com/_BFRNbglPjkNsJeiyjV1J0kygTn-nLAbwhl7dom9QED3w-wpPN91vl_cra2xb7TMj_KEvbaGSA=s800-c-k-c0x00ffffff-no-rj,,"Technology|Knowledge|Lifestyle (parent topic)"
22,UCCezIgC97PvUuR4_gbFUs5g,"Corey Schafer","Welcome to my Channel. This channel is focused on creating tutorials and walkthroughs for software developers, programmers, and engineers. We cover topics for all different skill levels, so whether you are a beginner or have many years of experience, this channel will have something for you. We've already released a wide variety of videos on topics that include: Python, Git, Development Environments, Terminal Commands, SQL, Programming Terms, JavaScript, Computer Science Fundamentals, and plenty of other tips and tricks which will help you in your career. If you enjoy these videos and would like to support my channel, I would greatly appreciate any assistance through my Patreon account: https://www.patreon.com/coreyms You can find me on: My website - http://coreyms.com/ Facebook - https://www.facebook.com/CoreyMSchafer Twitter - https://twitter.com/CoreyMSchafer Google Plus - https://plus.google.com/+CoreySchafer44/posts Tumblr - https://www.tumblr.com/blog/mycms",2006-05-31T22:49:22Z,,US,105862579,1500000,254,https://yt3.ggpht.com/ytc/AIdro_lD6K9DGGqWttThktCDttOdlHIHWZQ7Gcdd9WRSEqYUxw=s800-c-k-c0x00ffffff-no-rj,"Python|SQL|Linux|Tutorials|Programming|Education|Coding|How-to|Web Development|Web Design","Lifestyle (parent topic)|Knowledge|Technology"
23,UCIlUBOXnXjxdjmL_atU53kA,"Cours Python","Apprenez Python avec la chaîne ""Cours Python"" qui met à disposition toutes les vidéos du MOOC ""Python : des fondamentaux aux concepts avancés du langage"" produit par Université Côte d'Azur (UCA) et Inria et conçu par Arnaud Legout et Thierry Parmentelat. Si vous aimez ce contenu vidéo, je vous recommande de suivre le MOOC disponible sur le site de France Université Numérique (FUN) https://www.fun-mooc.fr qui ajoute aux vidéos des compléments, des exercices, des mini projets et un forum de discussions. ",2017-11-02T10:11:43Z,,,306609,5900,72,https://yt3.ggpht.com/DZpOiyy-pRP4_MXZO1i5RAkkOKHIilFpEXOehhOItHQlIXD8rZK97cUBDJCNxJKrVsStxZGf=s800-c-k-c0x00ffffff-no-rj,,"Lifestyle (parent topic)|Knowledge|Technology"
24,UC7O6kGcxQJnPFcKLUeWMMPA,"Monty Python Brasil","O canal (quase) mais completo sobre Monty Python do Brasil. Aqui você encontra curiosidades sobre os filmes, a série Flying Circus, os membros do Monty Python e, é claro, sem dizer NI pra não ofender ninguém! www.andartolo.com BlueSky: @montypythonbrasil Instagram: @montypythonbrasil TikTok: @montypythonbrasil",2013-02-18T22:11:25Z,,BR,198572,3870,390,https://yt3.ggpht.com/lIhwSi17OMzAmCBQq4Jgrhvsze_XSmISUqvtPPOgc65xjOxf0Twyfb9hOblcXZ9P8lgHyBwvRA=s800-c-k-c0x00ffffff-no-rj,"humor|britânico|inglês|grupo|monty python brasil|andar tolo|john cleese|eric idle|michael palin|graham chapman|terry jones|terry gilliam|carol cleveland|humor britânico|monty python|silly walk|monty python em busca do cálice sagrado|monty python legendado|monty python biggus dickus|monty python bruxa|monty python spam|monty python a vida de brian|monty python futebol filosofico dublado|monty python coelho|monty python peewee|monty python andorinha","Knowledge|Humor|Entertainment (parent topic)|Movies"
25,UC98CzaYuFNAA_gOINFB0e4Q,"EuroPython Conference","The official YouTube Channel of the EuroPython conferences. Current edition: EuroPython 2025. EuroPython is the official European conference for the Python programming language. Copyright © 2004-2025, EuroPython Speakers, EuroPython Society, Sweden and the Local Organisers of the EuroPython conferences. ""EuroPython"" is a trademark of the EuroPython Society. ",2011-07-04T16:27:05Z,,SE,4250699,35400,2247,https://yt3.ggpht.com/xi7teS3KSsdcQoc989Ha9NOVOi4d8biv2yQcNEORE-bkfk7AFklqR28sWl3rGEw0kcYue7BA6Jk=s800-c-k-c0x00ffffff-no-rj,"europython|python|pycon|europe|python conference|python code|python programmers|europython conference|python developers","Lifestyle (parent topic)|Knowledge|Technology"
26,UCdpQJDGrM3Xj58ZFF-2UNBA,"Python DS","PythonDS: Data Science no Python e mais... Canal criado por Janio Lima, autodidata (e viciado) em Python, RPA, Data Science e linguagens de programação em geral. Aventureiro em Linguagem C e hobista em microcontroladores, especialmente, ESP-8266 e Arduino. Começando também aprendizado de Raspberry Pi e a cada dia buscando acrescentar novas ferramentas e aprendizados na bagagem. A ideia desse espaço é compartilhar estes aprendizados e trocar experiências com quem estiver a fim de aprender com foco principal em Python, mas com diversificação para ferramentas complementares e outras linguagens. Python e seu logo são marcas registradas da Python Software Foundation. Este canal não possui nenhuma relação formal nem é apoiado ou de qualquer forma referendado por aquela instituição. 2019-2024. Janio de Souza Lima. Conteúdo desenvolvido e compartilhado exclusivamente com propósitos educacionais.",2020-04-21T15:10:08.283676Z,,BR,162126,3970,119,https://yt3.ggpht.com/3P_pzQpCMjfOCJFmyA2INxMGwamSFqvf3zBkLRYp3RMkgXMDdL8C3pDy_sS9xWsfUHVJM_tC=s800-c-k-c0x00ffffff-no-rj,python|programação|code|coding|tecnologia|datas|science,"Lifestyle (parent topic)|Knowledge|Technology"
27,UCMjMBMGt0WJQLeluw6qNJuA,"PyCon US","PyCon US is the largest annual gathering for the community that uses and develops the open-source Python programming language. It is a conference produced and underwritten by the Python Software Foundation (https://www.python.org/psf/) PyCon US (https://us.pycon.org/2026/) is organized by the Python community for the community. We try to keep registration far cheaper than most comparable technology conferences to make PyCon US accessible to the widest group possible. PyCon US is a diverse conference dedicated to providing an enjoyable experience to everyone. Our code of conduct is intended to help everyone maintain the PyCon US spirit. We thank all attendees and staff for observing it: https://policies.python.org/us.pycon.org/code-of-conduct/.",2020-02-12T21:08:24.450421Z,,US,1763777,33700,705,https://yt3.ggpht.com/TBWasUdBE0Iq4_99RsJlmoodqA1PajIO8ngfkC6Ew7wK1sRVcZDEgOD0MADwXBJey6g8OwD10g=s800-c-k-c0x00ffffff-no-rj,,"Technology|Knowledge|Lifestyle (parent topic)"
28,UCxHBj6mfMn7AChmbpvDroKg,"Python Developer - 0.1","Welcome To My YouTube Channel 🐍 Learn, build, and grow with Python — the most powerful and beginner-friendly programming language in the world! This channel is dedicated to helping students, developers, and professionals master Python programming through step-by-step tutorials, projects, and real-world examples. 🚀 What You’ll Find Here: 🐢 Turtle Graphics Design (GUI Programming) 🎮 Python Game Development 🌐 Django Web Development 🤖 Machine Learning 📊 Data Science Projects 🧠 Artificial Intelligence Concepts 💼 Python Interview Questions & Tips 💡 About Python: Python, created by Guido van Rossum and released in 1991, is a high-level, interpreted, and open-source programming language. It’s designed to be simple, readable, and powerful, making it perfect for beginners and experts alike. 🎯 Start Learning Today! Subscribe to Python Developer - 0.1 and begin your journey into: 👉 Python Programming 👉 Web Development with Django 👉 AI Let’s code your future — one line at a time. 💻✨ ",2020-11-30T18:09:55.360853Z,,IN,1052703,6930,841,https://yt3.ggpht.com/kjKeNHOZ7hVsyYOsWG97VRRMy1d5caSWa2JEKUbu1my85C94mMp2QUlyzvSAxEMHlnMRwr5Obw=s800-c-k-c0x00ffffff-no-rj,"Django|python|programming|coding|developer|design|Python Developer - 0.1|Python Developer|Python Games|website development|Deploy Projects","Knowledge|Technology|Lifestyle (parent topic)"
29,UCRjs7gazj9zxRxNnjbACh-g,"Python Cerrado","O encontro da comunidade Python da região Centro-Oeste do Brasil, tem como objetivo promover a plataforma Python entre universidades, empresas e instituições da sociedade civil, ao mesmo tempo que foca em temas relacionados ao Software Livre. Isso, por sua vez, incentiva a difusão da cultura associada ao tema e a promoção e estímulo ao desenvolvimento da Região Centro-Oeste. ",2025-07-31T14:57:33.047059Z,,,649,54,9,https://yt3.ggpht.com/KbspV9BmeZwM-EMKQN7Ia7KowBiRbN-wYlJFuRmbW3vmBYznOJyO_iRXwhDJaowkT1lyUFIe=s800-c-k-c0x00ffffff-no-rj,,"Technology|Knowledge|Lifestyle (parent topic)"
30,UCkvQcNjmC_duLhvDxeUPJAg,"Python Biella Group","Community Italiana di Python che si pone l'obiettivo di studiare e apprendere l'omonimo linguaggio di programmazione in tutte le sue accezioni Il nostro motto: C’è sempre qualcosa da imparare per migliorarci e crescere…insieme! Iscriviti alla nostra community e al canale per supportare le nostre iniziative e per imparare assieme a noi. ",2020-12-19T13:46:08.183969Z,it,IT,108500,2420,160,https://yt3.ggpht.com/vi_vnDY0HwreCA0dsr9R0hcU2O1sC1dF6_DK_9M5nqn8K2MEtMKfcou-zIWrPoulTEzO60vMXw=s800-c-k-c0x00ffffff-no-rj,"Python|Biella|Programmazione|programming|coding|code|dev|development|it|ai|bot|framework|community|live|recordings|learning|course|corso|diretta|registrazioni|chatbot|data|dati|backend|frontend|db|database|machine learning","Lifestyle (parent topic)|Knowledge|Technology"
31,UC5Kgc_HNzx4GJ-w4QMeeKiQ,"Pythonプログラミング VTuber サプー","Pythonプログラミングについて解説するVTuber サプーです✨ 初心者でも分かりやすく、Pythonを学習できるような動画をアップロードしていきます！ みんなが少しでもPythonが好きになってくれたら嬉しいな💕 Xをやってるので、フォローお願いします！ X ▶︎ https://x.com/PythonSuppl メール ▶︎ python.supu.vtuber@gmail.com HP ▶︎https://python-vtuber-supu.github.io/ 🩵 来歴 🩵 2021年1月：Python プログラミング VTuber としてデビュー 2022年1月：チャンネル登録者数１万人を突破 2024年7月：「VTuberサプーが教える！Python初心者のコード／プロのコード」を出版 2024年11月：チャンネル登録者数１０万人を突破 2025年2月：Developers Summit 2025 「ITエンジニア本大賞2025」プレゼン大会に登壇 💛 書籍出版 💛 VTuberサプーが教える！Python初心者のコード／プロのコード ▶︎ https://www.amazon.co.jp/dp/4297142856 ",2021-01-21T13:05:32.969273Z,,JP,9414904,150000,264,https://yt3.ggpht.com/5U7ZN8Uwxm0yWSWJRJ4Le-BT-rfMVwHB4jw0ixBoiEk_bgvb2A5RYUD6db0BPL-n40GRr54ESA=s800-c-k-c0x00ffffff-no-rj,プログラミング|Python|初心者|入門|基本|パイソン|学習,"Lifestyle (parent topic)|Technology"
32,UCoxFkMMqobh_sBPmVZiDMCA,explore.python,"let's Learn python programming language. .with me ,☺️ Best programming Language for AI 😎. https://www.youtube.com/@explorepython",2025-03-17T17:09:27.579284Z,,,6714,28,48,https://yt3.ggpht.com/XLo0ljkjlQFtc5aX3XAP0aexVmmPgGgUCp9eRwQucbAb3ZT_l4Xk0XzZKKxaTkHr7_Fr2F4J=s800-c-k-c0x00ffffff-no-rj,,"Lifestyle (parent topic)|Knowledge|Technology"
33,UCd3wQye3xG9Jt55neyVt3uw,"Dé Contra Python","oi eu sou programador e quero compartilhar o que faço :)",2025-01-24T17:33:03.149097Z,,,2,0,2,https://yt3.ggpht.com/dhVAu5s9iV_WtJ7Q8A00e6jD-bSqQyYk5k0ygMbUeA8GeWg4Rrv61X3cd4SHrm6PUWMqxbdq=s800-c-k-c0x00ffffff-no-rj,,
34,UCvqscgZKhDoKP-kEQm_kZ-Q,"Leonardo Frugal - Oficina Python",,2017-06-30T12:44:41Z,,,22767,667,39,https://yt3.ggpht.com/e8B0lwqA8QEgyvYIbBmZEoXs2Bp7Cdx0vc8kMExELIjAzfkyQV2SGFu_fqC64svyWxY3cefji6g=s800-c-k-c0x00ffffff-no-rj,,"Technology|Knowledge|Lifestyle (parent topic)"
